sample_id,Strain,Salt,A,C,Dispersed
223,wildtype (PS312),LiCl,9,14,68
224,wildtype (PS312),LiCl,18,55,92
225,wildtype (PS312),LiCl,16,24,83
226,wildtype (PS312),LiCl,29,46,97
227,wildtype (PS312),LiCl,26,55,73
228,wildtype (PS312),LiCl,24,28,57
229,wildtype (PS312),LiCl,36,27,59
230,gcy-22 (csu79),LiCl,20,4,50
231,gcy-22 (csu79),LiCl,23,15,68
232,gcy-22 (csu79),LiCl,16,15,50
233,gcy-22 (csu79),LiCl,14,4,39
234,gcy-22 (csu79),LiCl,26,16,55
235,gcy-22 (csu79),LiCl,30,6,67
236,gcy-22 (csu79),LiCl,23,28,71
237,gcy-22 (csu79),LiCl,11,15,56
238,gcy-22 (csu79),LiCl,6,11,38
239,gcy-22 (csu79),LiCl,14,4,41
240,gcy-22 (csu79),LiCl,9,24,63
241,gcy-22 (csu79),LiCl,21,2,78
242,gcy-22 (csu79),LiCl,15,4,122
243,gcy-22 (csu79),LiCl,22,2,119
244,gcy-22 (csu79),LiCl,16,6,144
245,gcy-22 (csu79),LiCl,11,2,102
246,gcy-22 (csu79),LiCl,14,0,104
247,gcy-22 (csu80),LiCl,35,13,21
248,gcy-22 (csu80),LiCl,82,39,90
249,gcy-22 (csu80),LiCl,35,22,80
250,gcy-22 (csu80),LiCl,39,35,116
251,gcy-22 (csu80),LiCl,31,6,64
252,gcy-22 (csu80),LiCl,13,4,33
253,gcy-22 (csu80),LiCl,46,11,102
254,gcy-22 (csu80),LiCl,22,15,85
255,gcy-22 (csu80),LiCl,28,29,37
256,gcy-22 (csu80),LiCl,25,14,39
257,gcy-22 (csu80),LiCl,11,0,
258,gcy-22 (csu80),LiCl,10,3,
259,gcy-22 (csu80),LiCl,14,4,
260,gcy-22 (csu80),LiCl,13,1,
261,wildtype (PS312),NaCl,32,27,103
262,wildtype (PS312),NaCl,24,29,59
263,wildtype (PS312),NaCl,38,35,81
264,wildtype (PS312),NaCl,54,39,95
265,wildtype (PS312),NaCl,42,23,121
266,wildtype (PS312),NaCl,25,34,71
267,wildtype (PS312),NaCl,28,16,46
268,wildtype (PS312),NaCl,24,12,36
269,wildtype (PS312),NaCl,18,14,38
270,wildtype (PS312),NaCl,13,4,33
271,wildtype (PS312),NaCl,57,9,72
272,wildtype (PS312),NaCl,51,14,81
273,wildtype (PS312),NaCl,20,18,32
274,wildtype (PS312),NaCl,19,9,44
275,wildtype (PS312),NaCl,10,2,14
276,wildtype (PS312),NaCl,20,15,43
277,gcy-22 (csu79),NaCl,26,4,105
278,gcy-22 (csu79),NaCl,17,8,68
